symbol,coin,data_start,data_end,return_1d_pct,return_3d_pct,return_7d_pct,return_14d_pct,return_30d_pct,range_3d_pct,range_7d_pct,range_14d_pct,quote_volume_7d_avg,quote_volume_14d_avg,volume_ratio_7d,volume_ratio_14d,hot_score,hot_reasons,is_hot,direction,threshold,regime,tp_pct,sl_pct,time_stop_min,base_7d_return_pct,base_7d_trades,base_7d_pf,base_7d_dd_pct,strict_7d_return_pct,strict_7d_trades,strict_7d_pf,strict_7d_dd_pct,taker_7d_return_pct,taker_7d_trades,taker_7d_pf,taker_7d_dd_pct,base_14d_return_pct,strict_14d_return_pct,taker_14d_return_pct,base_30d_return_pct,strict_30d_return_pct,taker_30d_return_pct,decision
UBUSDT,UB,2026-03-20T00:00:00+00:00,2026-05-03T23:59:59.999000+00:00,-22.27375115940109,71.09523115064896,137.97160243407708,179.73295183595616,384.7933884297521,183.08171206225677,301.94475138121544,372.2929109322253,241732006.92098972,146338107.51342115,13.746325700218856,20.398575071860197,100.0,3d move;7d move;3d range;7d range;volume spike,True,long,50,wide,0.01,0.04,90,17.016370692974437,37,2.0869170536070105,5.260330754575785,32.328568207673804,53,2.637311912081392,4.2287365289844825,14.403848482978399,37,1.908878498346371,5.393969854252236,12.806534789068413,27.24640031483332,9.36422113587252,76.48420937284088,73.13520136985461,49.883024021904745,ready
GUAUSDT,GUA,2026-03-20T00:00:00+00:00,2026-05-03T23:59:59.999000+00:00,-3.4233814625058145,-4.137771613499764,0.9862413247290869,5.844818785094441,64.59288364985814,53.46287992027905,56.66832752034547,57.78109948513537,13232713.473128527,12735123.132595045,1.1809663467589524,1.2528462979100743,55.551184392920575,3d range;7d range,True,long,50,wide,0.012,0.04,120,36.761001031017,102,1.6286107204802684,9.027376879394613,34.5464388109751,102,1.5451618405011913,9.807618169045822,26.688853927569323,101,1.455217667444382,9.528478673327356,48.071884582571386,44.09822374958598,35.020851433196796,96.7941682562921,70.80304452813347,68.75379040534375,ready
IRYSUSDT,IRYS,2026-03-20T00:00:00+00:00,2026-05-03T23:59:59.999000+00:00,-8.284023668639062,10.241820768136556,10.556348074179756,29.642020742723307,76.9406392694064,32.336719883889685,42.42424242424243,52.935256625293526,6045016.624679985,7502541.891382151,0.9776802906694817,1.4483738753873148,55.87659732784469,3d range,True,long,50,wide,0.012,0.04,90,20.408837244036793,71,1.5105360370142076,5.930730920435213,23.685307774239696,71,1.6161223839917631,5.306839897205589,14.859393372371809,71,1.364750759879184,6.853654154747278,38.69128578360386,43.950121592197775,28.56170141169967,54.14251796804312,63.27885051617332,19.706355789375785,ready
RAVEUSDT,RAVE,2026-03-20T00:00:00+00:00,2026-05-03T23:59:59.999000+00:00,-5.679758308157112,-12.081103914390322,-31.53508771929825,-2.122456657365901,143.69682304269764,22.437745740498016,52.41972477064218,492.93675364882796,75442598.86288448,450474132.058178,0.07117971024236813,0.5188236968558289,66.45395453770855,3d move;7d move;7d range,True,short,50,wide,0.012,0.04,180,36.66763975712739,85,1.6706458049465727,8.592350583149083,48.68767631822386,87,1.9486905219266069,7.309337088613097,24.566221738493745,83,1.4244729237912865,14.692412042249096,45.23897209649832,66.57724655548975,30.88528600427296,38.048843439544264,57.13627311860306,23.851870140204223,ready
FIGHTUSDT,FIGHT,2026-03-20T00:00:00+00:00,2026-05-03T23:59:59.999000+00:00,-0.6379234491860841,16.658057851239683,12.981490745372692,51.52633344515263,86.42179116797362,34.260462698206396,46.98349459305635,74.8476641841571,6305666.78454256,7542870.559064916,0.9554457546012006,1.4714886199504766,69.94179101639243,3d move;3d range;7d range,True,long,50,wide,0.012,0.04,120,38.64624412967619,88,1.6461544836271005,7.915248633600013,32.767829619195595,82,1.571974738991499,7.9152486336000125,31.28426285893906,88,1.5259208786488943,8.027282011790764,47.757472668257805,37.12574189598161,35.2426069683976,74.05649602481115,56.04433282669466,42.24038724956942,ready
B2USDT,B2,2026-03-20T00:00:00+00:00,2026-05-03T23:59:59.999000+00:00,-0.32180209171359664,13.628026412325767,-3.983261004339733,-2.3178807947019764,-12.027833001988075,40.05649717514124,72.87308228730822,72.87308228730822,10009131.274885748,5382127.315600014,9.055298509622467,4.4221695578321265,77.3199347980243,3d move;3d range;7d range;volume spike,True,long,50,wide,0.01,0.04,90,34.0777605598394,94,1.8086754893919483,6.667642934692024,32.87897543761786,87,1.9282619886482328,6.510702712970348,24.510626617123666,94,1.5564272953600466,8.211856582627027,41.60081214859481,37.24333035591953,29.98108496062921,46.53675642641852,54.45184289859417,30.8659322624234,ready
ZEREBROUSDT,ZEREBRO,2026-03-20T00:00:00+00:00,2026-05-03T23:59:59.999000+00:00,-2.148272957034536,-0.1484897034113586,71.51966706940529,99.52369797766845,264.47011838539436,73.4599763073278,177.43267018541076,237.85743716522458,82162626.20321433,47778893.367845796,13.278007037701594,14.334488555154644,100.0,7d move;3d range;7d range;volume spike,True,long,50,wide,0.01,0.04,90,40.34772065539431,58,3.4595410211642315,4.039200000000003,37.74861716570464,57,3.098538104436153,4.660992957141388,30.87273520352365,56,2.719681714693936,4.097592320000007,52.33522384734008,45.19029996791413,40.27383468464674,60.17584443433579,52.81660594095505,48.55301316825964,ready
BLUAIUSDT,BLUAI,2026-03-20T00:00:00+00:00,2026-05-03T23:59:59.999000+00:00,6.330025608194623,-4.051126516464465,17.045454545454565,51.52240848443379,97.51746692433476,25.942156003505712,35.56603773584905,69.05882352941177,6844173.952062293,7009107.31919871,0.7441644300367485,0.43246460454676766,56.78703571177009,3d range,True,long,50,wide,0.012,0.04,90,16.379776996660578,48,1.6951717594885618,5.466474891888535,21.17616853383857,48,1.9505729307499589,6.089900828019026,13.978244903930982,49,1.573156046996922,5.731989957125766,18.07717254329941,34.83037789624388,14.29840123631514,25.41750607604767,51.65312963482182,15.066500026276763,ready
SPORTFUNUSDT,SPORTFUN,2026-03-20T00:00:00+00:00,2026-05-03T23:59:59.999000+00:00,9.726510807234234,9.678130511463866,5.9412265758092,50.075414781297155,52.23378212974297,21.194241208402186,21.902289355676196,57.373061720887804,2623032.9911871394,3725258.8941435628,1.193141129575267,2.8576326791264877,73.91400585773988,volume spike,True,long,50,base,0.012,0.04,120,4.332156373249574,20,1.5491760576680236,4.8722839831986295,10.065638593565641,21,3.791049853363615,2.257736898315365,2.8613446284085464,20,1.344696817655698,5.3668335554231135,8.560767708016348,15.561963769590204,4.032929540276697,49.02346217447126,44.71282523215474,34.96857688961743,ready
FHEUSDT,FHE,2026-03-20T00:00:00+00:00,2026-05-03T23:59:59.999000+00:00,-3.4381551362683505,30.852272727272712,27.027027027027017,34.36406067677946,27.802441731409534,56.59942363112391,58.05700988947062,62.208955223880594,9602334.665762877,6033719.878126428,2.3419792015076393,1.2862691343186266,98.10375041809166,3d move;7d move;3d range;7d range;volume spike,True,long,50,wide,0.01,0.04,90,18.256010105711653,54,1.9105003739611661,4.975117825150189,17.463608687328858,52,1.8309863014798144,7.915248633600022,10.459018731629843,54,1.4510553640697903,8.517246363328546,15.675078466934478,18.30950456783298,4.068604211765825,35.10191490167085,43.310540255774875,13.384353448400631,ready
